val_accuracy,val_cross_entropy,epoch,step,train_accuracy_epoch,train_cross_entropy_epoch,train_accuracy_step,train_cross_entropy_step
0.5,0.9600176811218262,0,21,,,,
,,0,21,0.5,0.8568381667137146,,
0.5,1.0826939344406128,1,43,,,,
,,1,43,0.4545454680919647,0.7561092376708984,,
,,2,49,,,1.0,0.6268507242202759
0.5,1.260614275932312,2,65,,,,
,,2,65,0.5454545617103577,0.6665355563163757,,
